epoch,accuracy,loss,val_accuracy,val_loss
0,0.7329999804496765,0.8027898669242859,0.8324999809265137,0.36392661929130554
1,0.8399999737739563,0.4023543894290924,0.8050000071525574,0.4841083288192749
2,0.8740000128746033,0.3404044806957245,0.7925000190734863,0.6218809485435486
3,0.8999999761581421,0.27376461029052734,0.8849999904632568,0.3359220027923584
4,0.9120000004768372,0.22372479736804962,0.9024999737739563,0.32061710953712463
5,0.925000011920929,0.2118196040391922,0.8899999856948853,0.39889854192733765
6,0.9300000071525574,0.20030735433101654,0.8924999833106995,0.36221668124198914
7,0.9490000009536743,0.15498138964176178,0.8862500190734863,0.4401337504386902
8,0.9549999833106995,0.12622803449630737,0.9012500047683716,0.42011189460754395
9,0.9570000171661377,0.10676480084657669,0.8974999785423279,0.46124979853630066
